ds,yhat
2025-07-09,0.8468869488829502
2025-07-10,1.4439575515781142
2025-07-11,1.8521178995956025
2025-07-12,0.05033477796675376
2025-07-13,-0.09725004771490521
2025-07-14,1.2833970407284698
2025-07-15,0.8579532245763619
2025-07-16,0.2138132000154505
2025-07-17,0.2165630874096826
2025-07-18,0.3569724082042077
2025-07-19,-0.41396864538272443
2025-07-20,-0.36335518973731584
2025-07-21,0.9182883932079706
2025-07-22,0.6590098007943264
2025-07-23,0.061562910314978035
2025-07-24,0.018483315688878767
2025-07-25,0.08910403292402756
2025-07-26,-0.5537687917588429
2025-07-27,-0.5437909737285644
2025-07-28,0.35770193537981954
2025-07-29,0.324128319063629
2025-07-30,0.12620563874780952
2025-07-31,0.5605784425332896
2025-08-01,1.2098447359722302
2025-08-02,-0.057456003668614745
2025-08-03,-0.23585635294002902
2025-08-04,0.5417290656737693
2025-08-05,0.05135515939101056
2025-08-06,-0.2522192388701792
2025-08-07,0.08142381533923317
